id,fecha,archivo_origen,tercero_nombre,tercero_nit,descripcion,tipo_movimiento,valor_cop,cedula_destino,concepto_tributario,beneficio_asociado,confianza_clasificacion,observaciones,estado_exogena,valor_exogena_cop,diferencia_exogena_cop,resolucion_usuario
1,2025-12-31,Certificado_Ingresos_Retenciones_220.pdf,EMPRESA EMPLEADORA EJEMPLO S.A.S.,900123456-1,Pagos por salarios y emolumentos eclesiásticos (Casilla 37 Formulario 220),INGRESO,161703000,TRABAJO,SALARIO,Art. 103 E.T.,ALTA,Ingreso laboral ordinario dependiente,MATCH_EXACTO,161703008.0,-8.0,CONFIRMADO_CERTIFICADO
2,2025-12-31,Certificado_Ingresos_Retenciones_220.pdf,EMPRESA EMPLEADORA EJEMPLO S.A.S.,900123456-1,Prestaciones sociales y bonificaciones laborales (Casilla 41 Formulario 220),INGRESO,24327000,TRABAJO,SALARIO,Art. 103 E.T.,ALTA,Prima y bonificaciones devengadas en el año,MATCH_EXACTO,24327000.0,0.0,CONFIRMADO_CERTIFICADO
3,2025-12-31,Certificado_Ingresos_Retenciones_220.pdf,EMPRESA EMPLEADORA EJEMPLO S.A.S.,900123456-1,Cesantías e intereses de cesantías pagadas/consignadas (Casilla 45 Formulario 220),INGRESO,7275000,TRABAJO,SALARIO,Art. 206 Num. 4 E.T.,ALTA,Cesantías consignadas en fondo Fondo Demo,MATCH_EXACTO,7275000.0,0.0,CONFIRMADO_CERTIFICADO
4,2025-12-31,Certificado_Ingresos_Retenciones_220.pdf,EMPRESA EMPLEADORA EJEMPLO S.A.S.,900123456-1,Apoyos económicos y otros pagos laborales (Casillas 42 y 43 Formulario 220),INGRESO,12778000,TRABAJO,SALARIO,Art. 103 E.T.,ALTA,Suma de 12.308.000 + 470.000,MATCH_EXACTO,12778000.0,0.0,CONFIRMADO_CERTIFICADO
5,2025-12-31,Certificado_Ingresos_Retenciones_220.pdf,ENTIDAD PROMOTORA DE SALUD DEMO EPS,800111222-3,Aportes obligatorios a salud por nómina (Casilla 49 Formulario 220),EGRESO,6868000,TRABAJO,INCRNGO_SALUD,Art. 56 E.T.,ALTA,Ingreso no constitutivo de renta ni ganancia ocasional,MATCH_EXACTO,6868000.0,0.0,CONFIRMADO_CERTIFICADO
6,2025-12-31,Certificado_Ingresos_Retenciones_220.pdf,FONDO DE PENSIONES DEMO,800333444-5,Aportes obligatorios a fondo de pensión y FSP (Casilla 50 Formulario 220),EGRESO,8585000,TRABAJO,INCRNGO_PENSION,Art. 55 E.T.,ALTA,Ingreso no constitutivo de renta ni ganancia ocasional,MATCH_EXACTO,8585000.0,0.0,CONFIRMADO_CERTIFICADO
7,2025-12-31,Certificado_Ingresos_Retenciones_220.pdf,BANCO EJEMPLO CUENTA AFC,900777888-9,Aportes a cuentas AFC por retención en la fuente (Casilla 51 Formulario 220),EGRESO,30974000,TRABAJO,EXENTA_AFC,Art. 126-4 E.T.,ALTA,Renta exenta laboral con fomento a la construcción,MATCH_EXACTO,30973886.0,114.0,CONFIRMADO_CERTIFICADO
8,2025-12-31,Certificado_Ingresos_Retenciones_220.pdf,EMPRESA EMPLEADORA EJEMPLO S.A.S.,900123456-1,Retenciones en la fuente practicadas en el año (Casilla 53 Formulario 220),RETENCION,9371000,TRABAJO,RETENCION_FUENTE,Art. 383 E.T.,ALTA,Retención en la fuente laboral a imputar en declaración,MATCH_EXACTO,9371000.0,0.0,CONFIRMADO_CERTIFICADO
9,2025-12-31,Banco_Demo - Certificado credito hipotecario.pdf,ENTIDAD BANCARIA DEMO S.A.,900777888-9,Intereses pagados por crédito hipotecario de vivienda,EGRESO,8693000,TRABAJO,DED_VIVIENDA,Art. 119 E.T.,ALTA,Deducción imputable por intereses de crédito de vivienda,SOLO_EN_CERTIFICADOS,0,8693000.0,CONFIRMADO_CERTIFICADO
10,2025-12-31,Banco_Demo - Certificado credito hipotecario.pdf,ENTIDAD BANCARIA DEMO S.A.,900777888-9,Saldo de capital de deuda hipotecaria a 31 de diciembre,PATRIMONIO_PASIVO,110495000,PATRIMONIO,DEUDA_HIPOTECARIA,Art. 283 E.T.,ALTA,Pasivo financiero soportado fiscalmente,MATCH_EXACTO,110494768.0,232.0,CONFIRMADO_CERTIFICADO
